time(s),Engagement,Memorization,Workload
0.720000,29.7656382562,25.7665353473,18.0387636064
0.724000,29.7656382562,25.7665353473,18.0387636064
0.728000,29.7656382562,25.7665353473,18.0387636064
0.732000,29.7656382562,25.7665353473,18.0387636064
0.736000,30.0293746062,25.1200448473,17.8553773435
0.740000,30.0293746062,25.1200448473,17.8553773435
0.744000,30.0293746062,25.1200448473,17.8553773435
0.748000,30.0293746062,25.1200448473,17.8553773435
0.752000,30.0293746062,25.1200448473,17.8553773435
0.756000,30.0293746062,25.1200448473,17.8553773435
0.760000,30.0293746062,25.1200448473,17.8553773435
0.764000,30.0293746062,25.1200448473,17.8553773435
0.768000,29.9524637303,25.6732743095,18.7947559933
0.772000,29.9524637303,25.6732743095,18.7947559933
0.776000,29.9524637303,25.6732743095,18.7947559933
0.780000,29.9524637303,25.6732743095,18.7947559933
0.784000,29.9524637303,25.6732743095,18.7947559933
0.788000,29.9524637303,25.6732743095,18.7947559933
0.792000,29.9524637303,25.6732743095,18.7947559933
0.796000,29.9524637303,25.6732743095,18.7947559933
0.800000,30.0046168462,25.3743817785,18.8019433164
0.804000,30.0046168462,25.3743817785,18.8019433164
0.808000,30.0046168462,25.3743817785,18.8019433164
0.812000,30.0046168462,25.3743817785,18.8019433164
0.816000,30.0046168462,25.3743817785,18.8019433164
0.820000,30.0046168462,25.3743817785,18.8019433164
0.824000,30.0046168462,25.3743817785,18.8019433164
0.828000,30.0046168462,25.3743817785,18.8019433164
0.832000,29.7827238947,25.5705351812,17.2755486294
0.836000,29.7827238947,25.5705351812,17.2755486294
0.840000,29.7827238947,25.5705351812,17.2755486294
0.844000,29.7827238947,25.5705351812,17.2755486294
0.848000,29.7827238947,25.5705351812,17.2755486294
0.852000,29.7827238947,25.5705351812,17.2755486294
0.856000,29.7827238947,25.5705351812,17.2755486294
0.860000,29.7827238947,25.5705351812,17.2755486294
0.864000,30.3621114423,25.8534512612,19.0565036275
0.868000,30.3621114423,25.8534512612,19.0565036275
0.872000,30.3621114423,25.8534512612,19.0565036275
0.876000,30.3621114423,25.8534512612,19.0565036275
0.880000,30.3621114423,25.8534512612,19.0565036275
0.884000,30.3621114423,25.8534512612,19.0565036275
0.888000,30.3621114423,25.8534512612,19.0565036275
0.892000,30.3621114423,25.8534512612,19.0565036275
0.896000,30.1100360932,26.0448193433,18.8915550388
0.900000,30.1100360932,26.0448193433,18.8915550388
0.904000,30.1100360932,26.0448193433,18.8915550388
0.908000,30.1100360932,26.0448193433,18.8915550388
0.912000,30.1100360932,26.0448193433,18.8915550388
0.916000,30.1100360932,26.0448193433,18.8915550388
0.920000,30.1100360932,26.0448193433,18.8915550388
0.924000,30.1100360932,26.0448193433,18.8915550388
0.928000,29.9589666075,26.5216273769,18.055734317
0.932000,29.9589666075,26.5216273769,18.055734317
0.936000,29.9589666075,26.5216273769,18.055734317
0.940000,29.9589666075,26.5216273769,18.055734317
0.944000,29.9589666075,26.5216273769,18.055734317
0.948000,29.9589666075,26.5216273769,18.055734317
0.952000,29.9589666075,26.5216273769,18.055734317
0.956000,29.9589666075,26.5216273769,18.055734317
0.960000,30.1473241699,25.8240790922,18.5829402953
0.964000,30.1473241699,25.8240790922,18.5829402953
0.968000,30.1473241699,25.8240790922,18.5829402953
0.972000,30.1473241699,25.8240790922,18.5829402953
0.976000,30.1473241699,25.8240790922,18.5829402953
0.980000,30.1473241699,25.8240790922,18.5829402953
0.984000,30.1473241699,25.8240790922,18.5829402953
0.988000,30.1473241699,25.8240790922,18.5829402953
0.992000,29.4449402872,24.821030573,17.719593671
0.996000,29.4449402872,24.821030573,17.719593671
1.000000,29.4449402872,24.821030573,17.719593671
1.004000,29.4449402872,24.821030573,17.719593671
1.008000,29.4449402872,24.821030573,17.719593671
1.012000,29.4449402872,24.821030573,17.719593671
1.016000,29.4449402872,24.821030573,17.719593671
1.020000,29.4449402872,24.821030573,17.719593671
1.024000,29.7090324964,24.3736400048,18.2882980398
1.028000,29.7090324964,24.3736400048,18.2882980398
1.032000,29.7090324964,24.3736400048,18.2882980398
1.036000,29.7090324964,24.3736400048,18.2882980398
1.040000,29.7090324964,24.3736400048,18.2882980398
1.044000,29.7090324964,24.3736400048,18.2882980398
1.048000,29.7090324964,24.3736400048,18.2882980398
1.052000,29.7090324964,24.3736400048,18.2882980398
1.056000,30.0451723776,25.5971303949,18.085250199
1.060000,30.0451723776,25.5971303949,18.085250199
1.064000,30.0451723776,25.5971303949,18.085250199
1.068000,30.0451723776,25.5971303949,18.085250199
1.072000,30.0451723776,25.5971303949,18.085250199
1.076000,30.0451723776,25.5971303949,18.085250199
1.080000,30.0451723776,25.5971303949,18.085250199
1.084000,30.0451723776,25.5971303949,18.085250199
1.088000,30.1220805573,26.2510209851,18.5242978406
1.092000,30.1220805573,26.2510209851,18.5242978406
1.096000,30.1220805573,26.2510209851,18.5242978406
1.100000,30.1220805573,26.2510209851,18.5242978406
1.104000,30.1220805573,26.2510209851,18.5242978406
1.108000,30.1220805573,26.2510209851,18.5242978406
1.112000,30.1220805573,26.2510209851,18.5242978406
1.116000,30.1220805573,26.2510209851,18.5242978406
1.120000,30.4580837427,26.2467277797,18.8286252636
1.124000,30.4580837427,26.2467277797,18.8286252636
1.128000,30.4580837427,26.2467277797,18.8286252636
1.132000,30.4580837427,26.2467277797,18.8286252636
1.136000,30.4580837427,26.2467277797,18.8286252636
1.140000,30.4580837427,26.2467277797,18.8286252636
1.144000,30.4580837427,26.2467277797,18.8286252636
1.148000,30.4580837427,26.2467277797,18.8286252636
1.152000,29.9169319763,25.5814122286,18.5087102009
1.156000,29.9169319763,25.5814122286,18.5087102009
1.160000,29.9169319763,25.5814122286,18.5087102009
1.164000,29.9169319763,25.5814122286,18.5087102009
1.168000,29.9169319763,25.5814122286,18.5087102009
1.172000,29.9169319763,25.5814122286,18.5087102009
1.176000,29.9169319763,25.5814122286,18.5087102009
1.180000,29.9169319763,25.5814122286,18.5087102009
1.184000,30.1118651205,25.3783168368,18.724028979
1.188000,30.1118651205,25.3783168368,18.724028979
1.192000,30.1118651205,25.3783168368,18.724028979
1.196000,30.1118651205,25.3783168368,18.724028979
1.200000,30.1118651205,25.3783168368,18.724028979
1.204000,30.1118651205,25.3783168368,18.724028979
1.208000,30.1118651205,25.3783168368,18.724028979
1.212000,30.1118651205,25.3783168368,18.724028979
1.216000,29.6426753212,25.8350221244,17.3165120746
1.220000,29.6426753212,25.8350221244,17.3165120746
1.224000,29.6426753212,25.8350221244,17.3165120746
1.228000,29.6426753212,25.8350221244,17.3165120746
1.232000,29.6426753212,25.8350221244,17.3165120746
1.236000,29.6426753212,25.8350221244,17.3165120746
1.240000,29.6426753212,25.8350221244,17.3165120746
1.244000,29.6426753212,25.8350221244,17.3165120746
1.248000,29.9905067423,24.2088513507,19.5108181157
1.252000,29.9905067423,24.2088513507,19.5108181157
1.256000,29.9905067423,24.2088513507,19.5108181157
1.260000,29.9905067423,24.2088513507,19.5108181157
1.264000,29.9905067423,24.2088513507,19.5108181157
1.268000,29.9905067423,24.2088513507,19.5108181157
1.272000,29.9905067423,24.2088513507,19.5108181157
1.276000,29.9905067423,24.2088513507,19.5108181157
1.280000,30.0420071286,24.7822391049,17.5532464231
1.284000,30.0420071286,24.7822391049,17.5532464231
1.288000,30.0420071286,24.7822391049,17.5532464231
